subfolder,folder,dataset,gaussian_num_points,results,rl_params.reward_function,rl_params.base_model,rl_params.rl_lr,rl_params.complexity_penalty
16,20241018_164923,19Bear,217980,"{'ours_30000': {'SSIM': 0.9564107060432434, 'PSNR': 33.09990310668945}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.01
16,20241018_162531,01Gorilla,33227,"{'ours_30000': {'SSIM': 0.9416300058364868, 'PSNR': 30.077966690063477}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.01
16,20241018_170421,20Puppy,201357,"{'ours_30000': {'SSIM': 0.9560179114341736, 'PSNR': 32.102848052978516}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.01
16,20241018_163653,18Obesobeso,66185,"{'ours_30000': {'SSIM': 0.9505995512008667, 'PSNR': 32.21806716918945}}",[reward_diff_psnr_relative],not_exisiting,0.001,0.01
17,20241018_164249,18Obesobeso,109596,"{'ours_30000': {'SSIM': 0.9514385461807251, 'PSNR': 32.545841217041016}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.01
17,20241018_162531,01Gorilla,57672,"{'ours_30000': {'SSIM': 0.9436867237091064, 'PSNR': 30.507204055786133}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.01
17,20241018_172556,20Puppy,347746,"{'ours_30000': {'SSIM': 0.9577407836914062, 'PSNR': 32.74983215332031}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.01
17,20241018_170207,19Bear,380861,"{'ours_30000': {'SSIM': 0.9570638537406921, 'PSNR': 33.37546157836914}}",[reward_diff_psnr_relative],not_exisiting,0.0005,0.01
18,20241018_162531,,,,,,,
19,20241018_163911,18Obesobeso,126901,"{'ours_30000': {'SSIM': 0.9514023065567017, 'PSNR': 32.699859619140625}}",[reward_diff_psnr_relative],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.001,0.005
19,20241018_162531,01Gorilla,116665,"{'ours_30000': {'SSIM': 0.9451087713241577, 'PSNR': 30.817611694335938}}",[reward_diff_psnr_relative],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.001,0.005
19,20241018_165407,19Bear,203564,"{'ours_30000': {'SSIM': 0.9569888710975647, 'PSNR': 33.37440872192383}}",[reward_diff_psnr_relative],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.001,0.005
19,20241018_171055,20Puppy,316752,"{'ours_30000': {'SSIM': 0.9583942890167236, 'PSNR': 33.12076187133789}}",[reward_diff_psnr_relative],/bigwork/nhmlhuer/git/master_evaluation/imitation_learning_no_pruning_model_long.torch,0.001,0.005
20,20241018_162533,,,,,,,
21,20241018_162531,01Gorilla,199379,"{'ours_30000': {'SSIM': 0.9455753564834595, 'PSNR': 30.916093826293945}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.005
21,20241018_164553,18Obesobeso,380430,"{'ours_30000': {'SSIM': 0.9521327614784241, 'PSNR': 32.840362548828125}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.005
21,20241018_171034,19Bear,1662377,"{'ours_30000': {'SSIM': 0.9576037526130676, 'PSNR': 33.64734649658203}}",[reward_diff_psnr_relative],not_exisiting,0.005,0.005
